code,name,value
us-al-001,"Autauga County, AL",17.0
us-al-003,"Baldwin County, AL",10.0
us-al-005,"Barbour County, AL",33.0
us-al-007,"Bibb County, AL",0.0
us-al-009,"Blount County, AL",0.0
us-al-011,"Bullock County, AL",67.0
us-al-013,"Butler County, AL",33.0
us-al-015,"Calhoun County, AL",23.0
us-al-017,"Chambers County, AL",33.0
us-al-019,"Cherokee County, AL",0.0
us-al-021,"Chilton County, AL",11.0
us-al-023,"Choctaw County, AL",25.0
us-al-025,"Clarke County, AL",33.0
us-al-027,"Clay County, AL",0.0
us-al-029,"Cleburne County, AL",0.0
us-al-031,"Coffee County, AL",29.0
us-al-033,"Colbert County, AL",7.0
us-al-035,"Conecuh County, AL",80.0
us-al-037,"Coosa County, AL",0.0
us-al-039,"Covington County, AL",29.0
us-al-041,"Crenshaw County, AL",17.0
us-al-043,"Cullman County, AL",11.0
us-al-045,"Dale County, AL",7.0
us-al-047,"Dallas County, AL",27.0
us-al-049,"DeKalb County, AL",0.0
us-al-051,"Elmore County, AL",7.0
us-al-053,"Escambia County, AL",33.0
us-al-055,"Etowah County, AL",20.0
us-al-057,"Fayette County, AL",0.0
us-al-059,"Franklin County, AL",33.0
us-al-061,"Geneva County, AL",17.0
us-al-063,"Greene County, AL",67.0
us-al-065,"Hale County, AL",17.0
us-al-067,"Henry County, AL",0.0
us-al-069,"Houston County, AL",14.0
us-al-071,"Jackson County, AL",18.0
us-al-073,"Jefferson County, AL",30.0
us-al-075,"Lamar County, AL",0.0
us-al-077,"Lauderdale County, AL",9.0
us-al-079,"Lawrence County, AL",22.0
us-al-081,"Lee County, AL",41.0
us-al-083,"Limestone County, AL",19.0
us-al-085,"Lowndes County, AL",25.0
us-al-087,"Macon County, AL",50.0
us-al-089,"Madison County, AL",18.0
us-al-091,"Marengo County, AL",67.0
us-al-093,"Marion County, AL",12.0
us-al-095,"Marshall County, AL",22.0
us-al-097,"Mobile County, AL",19.0
us-al-099,"Monroe County, AL",29.0
us-al-101,"Montgomery County, AL",35.0
us-al-103,"Morgan County, AL",11.0
us-al-105,"Perry County, AL",33.0
us-al-107,"Pickens County, AL",0.0
us-al-109,"Pike County, AL",25.0
us-al-111,"Randolph County, AL",17.0
us-al-113,"Russell County, AL",15.0
us-al-115,"St. Clair County, AL",0.0
us-al-117,"Shelby County, AL",2.0
us-al-119,"Sumter County, AL",25.0
us-al-121,"Talladega County, AL",23.0
us-al-123,"Tallapoosa County, AL",10.0
us-al-125,"Tuscaloosa County, AL",17.0
us-al-127,"Walker County, AL",11.0
us-al-129,"Washington County, AL",20.0
